show,theatre,opening_date,closing_date,run_number,is_revival,genre
Mary Jane,Samuel J. Friedman Theatre,25-Apr-24,30-Jun-24,1,0,Play
Mother Play,Hayes Theater,29-Apr-24,16-Jun-24,1,0,Play
Patriots,Ethel Barrymore Theatre,01-May-24,23-Jun-24,1,0,Play
Stereophonic,John Golden Theatre,,12-Jan-25,1,0,Play
Uncle Vanya,Vivian Beaumont Theater,25-Apr-24,16-Jun-24,3,1,Play
Illinoise,St. James Theatre,10-May-24,10-Aug-24,1,0,Musical
Home,Todd Haimes Theatre,,21-Jul-24,1,0,Play
Ben Platt: Live at the Palace,Palace Theatre,29-May-24,15-Jun-24,1,0,
"Oh, Mary!",Lyceum Theatre,,,1,0,Play
JOB,Helen Hayes Theatre,05-Aug-24,27-Oct-24,1,0,Play
Once Upon a Mattress,Hudson Theatre,14-Aug-24,30-Nov-24,2,1,Musical
The Roommate,Booth Theatre,21-Sep-24,15-Dec-24,1,0,Play
McNeal,Vivian Beaumont Theater,02-Oct-24,24-Nov-24,1,0,Play
The Hills of California,Broadhurst Theatre,,22-Dec-24,1,0,Play
Yellow Face,Todd Haimes Theatre,07-Oct-24,24-Nov-24,1,0,Play
Our Town,Ethel Barrymore Theatre,15-Oct-24,19-Jan-25,3,1,Play
Left on Tenth,James Earl Jones Theatre,01-Nov-24,02-Feb-25,1,0,Play
Romeo and Juliet,Circle in the Square Theatre,12-Apr-27,31-May-87,2,1,Play
Sunset Boulevard,St. James Theatre,,20-Jul-25,3,1,Musical
A Wonderful World: The Louis Armstrong Musical,Studio 54,14-Nov-24,23-Feb-25,1,0,Musical
Maybe Happy Ending,Belasco Theatre,,,1,0,Musical
Tammy Faye,Palace Theatre,,08-Dec-24,1,0,Musical
Death Becomes Her,Lunt-Fontanne Theatre,,28-Jun-26,1,0,Musical
Swept Away,Longacre Theatre,20-Nov-24,29-Dec-24,1,0,Musical
Elf,Marquis Theatre,21-Nov-24,04-Jan-25,3,1,Musical
Cult of Love,Hayes Theater,18-Dec-24,02-Feb-25,1,0,Play
Gypsy,Majestic Theatre,,17-Aug-25,4,1,Musical
Eureka Day,Samuel J. Friedman Theatre,19-Dec-24,16-Feb-25,1,0,Play
All In: Comedy About Love,Hudson Theatre,,16-Feb-25,1,0,Play
English,Todd Haimes Theatre,,02-Mar-25,1,0,Play
Redwood,Nederlander Theatre,,18-May-25,1,0,Musical
Operation Mincemeat,John Golden Theatre,,,1,0,Musical
Buena Vista Social Club,Gerald Schoenfeld Theatre,,,1,0,Musical
Othello,Ethel Barrymore Theatre,,08-Jun-25,1,0,Play
Purpose,Hayes Theater,,31-Aug-25,1,0,Play
BOOP! The Musical,Broadhurst Theatre,,13-Jul-25,1,0,Musical
Glengarry Glen Ross,Palace Theatre,02-Apr-25,28-Jun-25,3,1,Play
"Good Night, and Good Luck",Winter Garden Theatre,25-Apr-25,08-Jun-25,1,0,Play
Smash,Imperial Theatre,,22-Jun-25,1,0,Musical
The Picture of Dorian Gray,Music Box Theatre,31-Mar-25,29-Jun-25,1,0,Play
John Proctor is the Villain,Booth Theatre,,07-Sep-25,1,0,Play
The Last Five Years,Hudson Theatre,08-Apr-25,22-Jun-25,1,0,Musical
Floyd Collins,Vivian Beaumont Theater,,22-Jun-25,1,0,Musical
Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,12-Apr-25,29-Jun-25,1,0,Musical
Stranger Things: The First Shadow,Marquis Theatre,,03-Jan-27,1,0,Play
Just in Time,Circle in the Square Theatre,,,1,0,Musical
Pirates! The Penzance Musical,Todd Haimes Theatre,29-Apr-25,27-Jul-25,1,0,Musical
Real Women Have Curves,James Earl Jones Theatre,30-Apr-25,29-Jun-25,1,0,Musical
Dead Outlaw,Longacre Theatre,,29-Jun-25,1,0,Musical
Call Me Izzy,Studio 54,13-Jun-25,24-Aug-25,1,0,Play
Mamma Mia!,Winter Garden Theatre,,01-Feb-26,2,1,Musical
Jeff Ross: Take a Banana For the Ride,Nederlander Theatre,,28-Sep-25,1,0,Play
Art,Music Box Theatre,24-Sep-25,21-Dec-25,2,1,Play
Punch,Samuel J. Friedman Theatre,07-Oct-25,02-Nov-25,1,0,Play
Waiting for Godot,Hudson Theatre,06-Oct-25,04-Jan-26,2,1,Play
Ragtime,Vivian Beaumont Theater,,16-Aug-26,3,1,Musical
Beetlejuice,Palace Theatre,,03-Jan-26,3,1,Musical
Liberation,James Earl Jones Theatre,30-Oct-25,01-Feb-26,1,0,Play
Little Bear Ridge Road,Booth Theatre,31-Oct-25,21-Dec-25,1,0,Play
The Queen of Versailles,St. James Theatre,10-Nov-25,21-Dec-25,1,0,Musical
Chess,Imperial Theatre,,21-Jun-26,2,1,Musical
Oedipus,Studio 54,17-Nov-25,08-Feb-26,1,0,Play
Rob Lake Magic with Special Guests The Muppets,Broadhurst Theatre,,16-Nov-25,1,0,Musical
Two Strangers (Carry a Cake Across New York),Longacre Theatre,,,1,0,Musical
Marjorie Prime,Hayes Theater,,,1,0,Play
All Out: Comedy About Ambition,Nederlander Theatre,,08-Mar-26,1,0,Play
Bug,Samuel J. Friedman Theatre,,08-Mar-26,1,0,Play
Every Brilliant Thing,Hudson Theatre,,09-Aug-26,1,0,Play
Death of a Salesman,Winter Garden Theatre,,09-Aug-26,4,1,Play
Dog Day Afternoon,August Wilson Theatre,01-Apr-26,12-Jul-26,1,0,Play
Giant,Music Box Theatre,,28-Jun-26,1,0,Play
Becky Shaw,Hayes Theater,,14-Jun-26,1,0,Play
Cats: The Jellicle Ball,Broadhurst Theatre,,08-Aug-26,1,0,Musical
The Fear of 13,James Earl Jones Theatre,16-Apr-26,28-Jun-26,1,0,Play
"Beaches, A New Musical",Majestic Theatre,28-Apr-26,24-May-26,1,0,Musical
Fallen Angels,Todd Haimes Theatre,22-Apr-26,07-Jun-26,1,0,Play
The Lost Boys,Palace Theatre,,,1,0,Musical
The Rocky Horror Show,Studio 54,,,2,1,Musical
Titaníque,St. James Theatre,,,1,0,Musical
Joe Turner's Come and Gone,Ethel Barrymore Theatre,,26-Jul-26,3,1,Play
Proof,Booth Theatre,20-Apr-26,19-Jul-26,2,1,Play
Schmigadoon!,Nederlander Theatre,,03-Jan-27,1,0,Musical
The Balusters,Samuel J. Friedman Theatre,27-Apr-26,21-Jun-26,1,0,Play
Celebrity Autobiography,Sam S. Shubert Theatre,,21-Jun-26,2,1,
Paranormal Activity,August Wilson Theatre,,,1,0,Play
show,theatre,opening_date,closing_date,run_number,is_revival,genre
,,,,,,
