run_id,show,theatre,opening_date,closing_date,date_source,is_revival,revival_rank,genre,based_on,lead_cast,title_ambiguous,n_weeks_observed
private-lives-run1,Private Lives,Broadhurst Theatre,1992-02-16,1992-03-22,week_range,True,1,,,,,6
private-lives-run2,Private Lives,Richard Rodgers Theatre,2002-04-21,2002-09-01,week_range,True,2,,,,,20
private-lives-run3,Private Lives,Music Box Theatre,2011-11-06,2012-01-01,week_range,True,3,,,,,9
promises-promises-run1,"Promises, Promises",Broadway Theatre,2010-03-28,2011-01-02,week_range,False,1,,,,,41
proof-run1,Proof,Walter Kerr Theatre,2000-10-15,2026-07-19,week_range,False,1,,,,,133
proposals-run1,Proposals,Broadhurst Theatre,1997-11-02,1998-01-11,week_range,False,1,,,,,11
prune-danish-run1,Prune Danish,Royale Theatre,2002-10-13,2002-12-01,week_range,False,1,,,,,8
prymate-run1,Prymate,Longacre Theatre,2004-04-18,2004-05-09,week_range,False,1,,,,,4
punch-run1,Punch,Samuel J. Friedman Theatre,2025-09-14,2025-11-02,week_range,False,1,,,,,8
pure-yanni-run1,Pure Yanni,Lunt-Fontanne Theatre,2019-06-02,2019-06-02,week_range,False,1,,,,,1
purlie-victorious-run1,Purlie Victorious,Music Box Theatre,2023-09-10,2024-02-04,week_range,False,1,,,,,22
purpose-run1,Purpose,Hayes Theater,2025-03-02,2025-08-31,week_range,False,1,,,,,27
putting-it-together-run1,Putting It Together,Ethel Barrymore Theatre,1999-10-31,2000-02-20,week_range,False,1,,,,,17
pygmalion-run1,Pygmalion,Plymouth Theatre,1987-04-19,1987-08-02,week_range,True,1,,,,,16
pygmalion-run2,Pygmalion,American Airlines Theatre,2007-09-23,2007-12-16,week_range,True,2,,,,,13
qed-run1,QED,Vivian Beaumont Theater,2001-10-21,2002-06-16,week_range,False,1,,,,,28
rabbit-hole-run1,Rabbit Hole,Biltmore Theatre,2006-01-15,2006-04-09,week_range,False,1,,,,,13
race-run1,Race,Ethel Barrymore Theatre,2009-11-22,2010-08-22,week_range,False,1,,,,,40
racing-demon-run1,Racing Demon,Vivian Beaumont Theater,1995-11-12,1995-12-31,week_range,False,1,,,,,8
radio-golf-run1,Radio Golf,Cort Theatre,2007-04-22,2007-07-01,week_range,False,1,,,,,11
raffi-run1,Raffi,Gershwin Theatre,1993-04-11,1993-04-11,week_range,False,1,,,,,1
raggedy-ann-run1,Raggedy Ann,Nederlander Theatre,1986-10-05,1986-10-19,week_range,False,1,,,,,3
rags-run1,Rags,Mark Hellinger Theatre,1986-08-10,1986-08-24,week_range,False,1,,,,,3
ragtime-run1,Ragtime,Ford Center for the Performing Arts,1997-12-28,2000-01-16,week_range,True,1,,,,,108
ragtime-run2,Ragtime,Vivian Beaumont Theater,2009-10-25,2026-08-16,week_range,True,2,,,,,59
rain-a-tribute-to-the-beatles-run1,Rain: A Tribute to the Beatles,Brooks Atkinson Theatre,2010-10-24,2011-07-31,week_range,False,1,,,,,38
real-women-have-curves-run1,Real Women Have Curves,James Earl Jones Theatre,2025-04-06,2025-06-29,week_range,False,1,,,,,13
reasons-to-be-pretty-run1,Reasons to Be Pretty,Lyceum Theatre,2009-03-15,2009-06-14,week_range,False,1,,,,,14
reckless-run1,Reckless,Biltmore Theatre,2004-09-26,2004-12-19,week_range,False,1,,,,,13
red-run1,Red,John Golden Theatre,2010-03-14,2010-06-27,week_range,False,1,,,,,16
redwood-run1,Redwood,Nederlander Theatre,2025-01-26,2025-05-18,week_range,False,1,,,,,17
redwood-curtain-run1,Redwood Curtain,Brooks Atkinson Theatre,1993-03-21,1993-05-02,week_range,False,1,,,,,7
regina-spektor-live-on-broadway-run1,Regina Spektor: Live on Broadway,Lunt-Fontanne Theatre,2019-06-30,2019-06-30,week_range,False,1,,,,,1
relatively-speaking-run1,Relatively Speaking,Brooks Atkinson Theatre,2011-09-25,2012-01-29,week_range,False,1,,,,,19
rent-run1,Rent,Nederlander Theatre,1996-04-21,2008-09-07,week_range,False,1,,,,,647
ring-round-the-moon-run1,Ring Round the Moon,Belasco Theatre,1999-04-04,1999-06-27,week_range,False,1,,,,,13
ring-of-fire-run1,Ring of Fire,Ethel Barrymore Theatre,2006-02-12,2006-04-30,week_range,False,1,,,,,12
riverdance-on-broadway-run1,Riverdance - on Broadway,Gershwin Theatre,2000-03-05,2001-08-26,week_range,False,1,,,,,78
rob-becker-s-defending-the-caveman-run1,Rob Becker's Defending the Caveman,Booth Theatre,1995-03-05,1997-06-22,week_range,False,1,,,,,116
rob-lake-magic-with-special-guests-the-m-run1,Rob Lake Magic with Special Guests The Muppets,Broadhurst Theatre,2025-11-02,2025-11-16,week_range,False,1,,,,,3
rock-n-roll-run1,Rock 'n' Roll,Bernard B. Jacobs Theatre,2007-10-21,2008-03-09,week_range,False,1,,,,,21
rock-of-ages-run1,Rock of Ages,Helen Hayes Theatre,2009-03-22,2015-01-18,week_range,False,1,,,,,295
rocktopia-run1,Rocktopia,Broadway Theatre,2018-03-25,2018-04-29,week_range,False,1,,,,,6
rocky-run1,Rocky,Winter Garden Theatre,2014-02-16,2014-08-17,week_range,False,1,,,,,27
romance-romance-run1,Romance / Romance,Helen Hayes Theatre,1988-04-24,1989-01-15,week_range,False,1,,,,,39
romeo-and-juliet-run1,Romeo and Juliet,Circle in the Square Theatre,2013-08-25,2025-02-16,week_range,False,1,,,,,37
rose-run1,Rose,Lyceum Theatre,2000-04-02,2000-05-21,week_range,False,1,,,,,8
rowan-atkinson-at-the-atkinson-run1,Rowan Atkinson at the Atkinson,Brooks Atkinson Theatre,1986-10-12,1986-10-19,week_range,False,1,,,,,2
roza-run1,Roza,Royale Theatre,1987-09-20,1987-10-11,week_range,False,1,,,,,4
ruben-clay-s-first-annual-christmas-caro-run1,Ruben & Clay's First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,Imperial Theatre,2018-12-09,2018-12-30,week_range,False,1,,,,,4
rumors-run1,Rumors,Ethel Barrymore Theatre,1988-11-13,1990-02-25,week_range,False,1,,,,,68
run-for-your-wife-run1,Run for Your Wife,Virginia Theatre,1989-02-26,1989-04-16,week_range,False,1,,,,,8
russell-simmons-def-poetry-jam-run1,Russell Simmons Def Poetry Jam,Longacre Theatre,2002-11-03,2003-05-04,week_range,False,1,,,,,27
six-the-musical-run1,SIX: The Musical,Lena Horne Theatre,2020-02-16,2026-08-16,week_range,False,1,,,,,260
sacrilege-run1,Sacrilege,Belasco Theatre,1995-10-29,1995-11-19,week_range,False,1,,,,,4
safe-sex-run1,Safe Sex,Lyceum Theatre,1987-03-22,1987-04-12,week_range,False,1,,,,,4
saint-joan-run1,Saint Joan,Lyceum Theatre,1993-01-24,1993-03-14,week_range,True,1,,,,,8
saint-joan-run2,Saint Joan,Samuel J. Friedman Theatre,2018-04-08,2018-06-10,week_range,True,2,,,,,10
sally-marr-and-her-escorts-run1,Sally Marr...and Her Escorts,Helen Hayes Theatre,1994-04-17,1994-06-19,week_range,False,1,,,,,10
salome-run1,Salome,Ethel Barrymore Theatre,2003-04-13,2003-06-15,week_range,False,1,,,,,10
sarafina-run1,Sarafina!,Cort Theatre,1988-01-24,1989-07-02,week_range,False,1,,,,,76
saturday-night-fever-run1,Saturday Night Fever,Minskoff Theatre,1999-10-03,2000-12-31,week_range,False,1,,,,,66
say-goodnight-gracie-run1,"Say Goodnight, Gracie",Helen Hayes Theatre,2002-09-22,2003-08-24,week_range,False,1,,,,,49
scandalous-the-life-and-trials-of-aimee--run1,Scandalous: The Life and Trials of Aimee Semple McPherson,Neil Simon Theatre,2012-10-14,2012-12-09,week_range,False,1,,,,,9
schmigadoon-run1,Schmigadoon!,Nederlander Theatre,2026-04-05,2026-08-16,week_range,False,1,,,,,20
school-of-rock-the-musical-run1,School of Rock - The Musical,Winter Garden Theatre,2015-11-15,2019-01-20,week_range,False,1,,,,,166
sea-wall-a-life-run1,Sea Wall/A Life,Hudson Theatre,2019-07-28,2019-09-29,week_range,False,1,,,,,10
search-and-destroy-run1,Search and Destroy,Circle in the Square Theatre,1992-02-09,1992-04-05,week_range,False,1,,,,,9
seascape-run1,Seascape,Booth Theatre,2005-10-30,2006-01-08,week_range,False,1,,,,,11
seminar-run1,Seminar,John Golden Theatre,2011-10-30,2012-05-06,week_range,False,1,,,,,28
senator-joe-run1,Senator Joe,Neil Simon Theatre,1989-01-08,1989-01-08,week_range,False,1,,,,,1
serious-money-run1,Serious Money,Royale Theatre,1988-01-24,1988-02-21,week_range,False,1,,,,,5
seussical-run1,Seussical,Richard Rodgers Theatre,2000-11-05,2001-05-20,week_range,False,1,,,,,29
seven-guitars-run1,Seven Guitars,Walter Kerr Theatre,1996-03-17,1996-09-08,week_range,False,1,,,,,26
sex-and-longing-run1,Sex and Longing,Cort Theatre,1996-09-15,1996-11-17,week_range,False,1,,,,,10
sexaholix-run1,Sexaholix,Royale Theatre,2001-10-14,2002-02-10,week_range,True,1,,,,,18
sexaholix-run2,Sexaholix,Broadway Theatre,2003-11-16,2003-12-07,week_range,True,2,,,,,4
shadowlands-run1,Shadowlands,Brooks Atkinson Theatre,1990-11-04,1991-04-07,week_range,False,1,,,,,23
shakespeare-for-my-father-run1,Shakespeare for My Father,Helen Hayes Theatre,1993-04-25,1994-01-02,week_range,False,1,,,,,37
shatner-s-world-we-just-live-in-it-run1,Shatner's World: We Just Live in It,Music Box Theatre,2012-02-19,2012-03-04,week_range,False,1,,,,,3
she-loves-me-run1,She Loves Me,Brooks Atkinson Theatre,1993-05-16,1994-06-19,week_range,True,1,,,,,50
she-loves-me-run2,She Loves Me,Studio 54,2016-02-21,2016-07-10,week_range,True,2,,,,,21
shenandoah-run1,Shenandoah,Virginia Theatre,1989-07-30,1989-09-03,week_range,False,1,,,,,6
sherlock-s-last-case-run1,Sherlock's Last Case,Nederlander Theatre,1987-08-09,1987-12-06,week_range,False,1,,,,,18
shimada-run1,Shimada,Broadhurst Theatre,1992-04-12,1992-04-26,week_range,False,1,,,,,3
shining-city-run1,Shining City,Biltmore Theatre,2006-04-23,2006-07-16,week_range,False,1,,,,,13
shirley-valentine-run1,Shirley Valentine,Booth Theatre,1989-02-12,1989-11-26,week_range,False,1,,,,,42
shogun-the-musical-run1,"Shogun, the Musical",Marquis Theatre,1990-11-04,1991-01-20,week_range,False,1,,,,,12
show-boat-run1,Show Boat,Gershwin Theatre,1994-09-25,1997-01-05,week_range,False,1,,,,,120
shrek-the-musical-run1,Shrek the Musical,Broadway Theatre,2008-11-09,2010-01-03,week_range,False,1,,,,,61
shucked-run1,Shucked,Nederlander Theatre,2023-03-12,2024-01-14,week_range,False,1,,,,,45
shuffle-along-or-the-making-of-the-music-run1,"Shuffle Along, or the Making of the Musical Sensation of 1921 and All That Followed",Music Box Theatre,2016-03-20,2016-07-24,week_range,False,1,,,,,19
sid-caesar-company-run1,Sid Caesar & Company,John Golden Theatre,1989-10-29,1989-11-05,week_range,False,1,,,,,2
side-man-run1,Side Man,John Golden Theatre,1998-06-07,1999-10-31,week_range,False,1,,,,,68
side-show-run1,Side Show,Richard Rodgers Theatre,1997-09-21,1998-01-04,week_range,True,1,,,,,16
side-show-run2,Side Show,St. James Theatre,2014-11-02,2015-01-04,week_range,True,2,,,,,10
sight-unseen-run1,Sight Unseen,Biltmore Theatre,2004-05-09,2004-07-25,week_range,False,1,,,,,12
significant-other-run1,Significant Other,Booth Theatre,2017-02-19,2017-04-23,week_range,False,1,,,,,10
singin-in-the-rain-run1,Singin' in the Rain,Gershwin Theatre,1985-06-09,1986-05-18,week_range,False,1,,,,,50
sister-act-run1,Sister Act,Broadway Theatre,2011-03-27,2012-08-26,week_range,False,1,,,,,75
six-dance-lessons-in-six-weeks-run1,Six Dance Lessons in Six Weeks,Belasco Theatre,2003-10-12,2003-11-23,week_range,False,1,,,,,7
six-degrees-of-separation-run1,Six Degrees of Separation,Vivian Beaumont Theater,1990-11-04,1992-01-05,week_range,True,1,,,,,62
six-degrees-of-separation-run2,Six Degrees of Separation,Ethel Barrymore Theatre,2017-04-09,2017-06-18,week_range,True,2,,,,,11
sixteen-wounded-run1,Sixteen Wounded,Walter Kerr Theatre,2004-03-28,2004-04-25,week_range,False,1,,,,,5
skeleton-crew-run1,Skeleton Crew,Samuel J. Friedman Theatre,2022-01-02,2022-02-20,week_range,False,1,,,,,7
skylight-run1,Skylight,Royale Theatre,1996-09-15,1996-12-29,week_range,True,1,,,,,16
skylight-run2,Skylight,John Golden Theatre,2015-03-15,2015-06-21,week_range,True,2,,,,,14
slava-s-snowshow-run1,Slava's Snowshow,Helen Hayes Theatre,2008-12-07,2009-01-04,week_range,True,1,,,,,5
slava-s-snowshow-run2,Slava's Snowshow,Stephen Sondheim Theatre,2019-11-17,2020-01-05,week_range,True,2,,,,,8
slave-play-run1,Slave Play,John Golden Theatre,2019-09-15,2022-01-23,week_range,False,1,,,,,28
sleight-of-hand-run1,Sleight of Hand,Cort Theatre,1987-04-12,1987-05-10,week_range,False,1,,,,,5
sly-fox-run1,Sly Fox,Ethel Barrymore Theatre,2004-03-14,2004-08-29,week_range,False,1,,,,,25
smash-run1,Smash,Imperial Theatre,2025-03-16,2025-06-22,week_range,False,1,,,,,15
smile-run1,Smile,Lunt-Fontanne Theatre,1986-11-16,1987-01-04,week_range,False,1,,,,,8
smokey-joe-s-cafe-run1,Smokey Joe's Cafe,Virginia Theatre,1995-02-12,2000-01-16,week_range,False,1,,,,,256
so-long-on-lonely-street-run1,So Long on Lonely Street,Jack Lawrence Theatre,1986-03-30,1986-05-18,week_range,False,1,,,,,8
social-security-run1,Social Security,Ethel Barrymore Theatre,1986-03-30,1987-03-22,week_range,False,1,,,,,52
solitary-confinement-run1,Solitary Confinement,Nederlander Theatre,1992-11-01,1992-11-29,week_range,False,1,,,,,5
some-americans-abroad-run1,Some Americans Abroad,Vivian Beaumont Theater,1990-04-29,1990-06-17,week_range,False,1,,,,,8
some-like-it-hot-run1,Some Like It Hot,Sam S. Shubert Theatre,2022-11-06,2023-12-31,week_range,False,1,,,,,61
someone-who-ll-watch-over-me-run1,Someone Who'll Watch Over Me,Booth Theatre,1992-11-22,1993-06-13,week_range,False,1,,,,,30
something-rotten-run1,Something Rotten!,St. James Theatre,2015-03-29,2017-01-01,week_range,False,1,,,,,92
sondheim-on-sondheim-run1,Sondheim on Sondheim,Studio 54,2010-03-21,2010-06-27,week_range,False,1,,,,,15
song-and-dance-run1,Song and Dance,Royale Theatre,1985-09-08,1986-11-09,week_range,False,1,,,,,62
soul-doctor-run1,Soul Doctor,Circle in the Square Theatre,2013-07-21,2013-10-13,week_range,False,1,,,,,13
soul-of-shaolin-run1,Soul of Shaolin,Marquis Theatre,2009-01-18,2009-02-01,week_range,False,1,,,,,3
south-pacific-run1,South Pacific,Vivian Beaumont Theater,2008-03-02,2010-08-22,week_range,False,1,,,,,130
souvenir-run1,Souvenir,Lyceum Theatre,2005-10-30,2006-01-08,week_range,False,1,,,,,11
spamalot-run1,Spamalot,Sam S. Shubert Theatre,2005-02-20,2024-04-07,week_range,False,1,,,,,227
speed-the-plow-run1,Speed-the-Plow,Royale Theatre,1988-04-10,1989-01-01,week_range,True,1,,,,,39
speed-the-plow-run2,Speed-the-Plow,Ethel Barrymore Theatre,2008-10-05,2009-02-22,week_range,True,2,,,,,21
spider-man-turn-off-the-dark-run1,Spider-Man Turn Off the Dark,Foxwoods Theatre,2010-11-28,2014-01-05,week_range,False,1,,,,,160
spoils-of-war-run1,Spoils of War,Music Box Theatre,1988-10-30,1988-12-11,week_range,False,1,,,,,7
spongebob-squarepants-the-broadway-music-run1,"SpongeBob SquarePants, The Broadway Musical",Palace Theatre,2017-11-12,2018-09-16,week_range,False,1,,,,,45
spring-awakening-run1,Spring Awakening,Eugene O'Neill Theatre,2006-11-19,2009-01-18,week_range,True,1,,,,,114
spring-awakening-run2,Spring Awakening,Brooks Atkinson Theatre,2015-09-13,2016-01-24,week_range,True,2,,,,,19
springsteen-on-broadway-run1,Springsteen On Broadway,Walter Kerr Theatre,2017-10-08,2018-12-16,week_range,False,1,,,,,52
squonk-run1,Squonk,Helen Hayes Theatre,2000-02-13,2000-03-26,week_range,False,1,,,,,7
stand-up-tragedy-run1,Stand-Up Tragedy,Criterion Center Stage Right,1990-09-30,1990-10-21,week_range,False,1,,,,,4
stanley-run1,Stanley,Circle in the Square Theatre,1997-02-09,1997-04-27,week_range,False,1,,,,,12
stardust-run1,Stardust,Biltmore Theatre,1987-02-08,1987-05-17,week_range,False,1,,,,,15
starlight-express-run1,Starlight Express,Gershwin Theatre,1987-03-01,1989-01-08,week_range,False,1,,,,,98
starmites-run1,Starmites,Criterion Center Stage Right,1989-03-26,1989-06-18,week_range,False,1,,,,,13
state-fair-run1,State Fair,Music Box Theatre,1996-03-24,1996-06-30,week_range,False,1,,,,,15
steel-magnolias-run1,Steel Magnolias,Lyceum Theatre,2005-03-20,2005-07-31,week_range,False,1,,,,,20
steel-pier-run1,Steel Pier,Richard Rodgers Theatre,1997-03-30,1997-06-29,week_range,False,1,,,,,14
stephen-sondheim-s-old-friends-run1,Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,2025-03-30,2025-06-29,week_range,False,1,,,,,14
stepping-out-run1,Stepping Out,John Golden Theatre,1986-12-28,1987-03-15,week_range,False,1,,,,,12
stereophonic-run1,Stereophonic,John Golden Theatre,2024-04-07,2025-01-12,week_range,False,1,,,,,41
stick-fly-run1,Stick Fly,Cort Theatre,2011-11-20,2012-02-26,week_range,False,1,,,,,15
stones-in-his-pockets-run1,Stones in His Pockets,John Golden Theatre,2001-03-25,2001-09-23,week_range,False,1,,,,,27
straight-white-men-run1,Straight White Men,Helen Hayes Theater,2018-07-01,2018-09-09,week_range,False,1,,,,,11
stranger-things-the-first-shadow-run1,Stranger Things: The First Shadow,Marquis Theatre,2025-03-30,2026-08-16,week_range,False,1,,,,,72
street-corner-symphony-run1,Street Corner Symphony,Brooks Atkinson Theatre,1997-11-02,1998-02-01,week_range,False,1,,,,,14
