show,theatre,opening_date,running_time_minutes,source,source_url,status
The Roommate,Booth Theatre,21-Sep-24,91,wikipedia,https://en.wikipedia.org/wiki/The_Roommate,ok
McNeal,Vivian Beaumont Theater,02-Oct-24,,,,not_found
The Hills of California,Broadhurst Theatre,,,,,not_found
Yellow Face,Todd Haimes Theatre,07-Oct-24,,,,not_found
Our Town,Ethel Barrymore Theatre,15-Oct-24,,,,not_found
Left on Tenth,James Earl Jones Theatre,01-Nov-24,,,,not_found
Romeo and Juliet,Circle in the Square Theatre,12-Apr-27,,,,not_found
Sunset Boulevard,St. James Theatre,,,,,not_found
A Wonderful World: The Louis Armstrong Musical,Studio 54,14-Nov-24,,,,not_found
Maybe Happy Ending,Belasco Theatre,,,,,not_found
Tammy Faye,Palace Theatre,,,,,not_found
Death Becomes Her,Lunt-Fontanne Theatre,,104,wikipedia,https://en.wikipedia.org/wiki/Death_Becomes_Her,ok
Swept Away,Longacre Theatre,20-Nov-24,,,,not_found
Elf,Marquis Theatre,21-Nov-24,,,,not_found
Cult of Love,Hayes Theater,18-Dec-24,,,,not_found
Gypsy,Majestic Theatre,,,,,not_found
Eureka Day,Samuel J. Friedman Theatre,19-Dec-24,,,,not_found
All In: Comedy About Love,Hudson Theatre,,,,,not_found
English,Todd Haimes Theatre,,,,,not_found
Redwood,Nederlander Theatre,,,,,not_found
Operation Mincemeat,John Golden Theatre,,,,,not_found
Buena Vista Social Club,Gerald Schoenfeld Theatre,,,,,not_found
Othello,Ethel Barrymore Theatre,,,,,not_found
Purpose,Hayes Theater,,,,,not_found
BOOP! The Musical,Broadhurst Theatre,,,,,not_found
Glengarry Glen Ross,Palace Theatre,02-Apr-25,,,,not_found
"Good Night, and Good Luck",Winter Garden Theatre,25-Apr-25,93,wikipedia,https://en.wikipedia.org/wiki/Good_Night%2C_and_Good_Luck,ok
Smash,Imperial Theatre,,,,,not_found
The Picture of Dorian Gray,Music Box Theatre,31-Mar-25,,,,not_found
John Proctor is the Villain,Booth Theatre,,,,,not_found
The Last Five Years,Hudson Theatre,08-Apr-25,,,,not_found
Floyd Collins,Vivian Beaumont Theater,,,,,not_found
Stephen Sondheim's Old Friends,Samuel J. Friedman Theatre,12-Apr-25,,,,not_found
Stranger Things: The First Shadow,Marquis Theatre,,,,,not_found
Just in Time,Circle in the Square Theatre,,,,,not_found
Pirates! The Penzance Musical,Todd Haimes Theatre,29-Apr-25,,,,not_found
Real Women Have Curves,James Earl Jones Theatre,30-Apr-25,93,wikipedia,https://en.wikipedia.org/wiki/Real_Women_Have_Curves,ok
Dead Outlaw,Longacre Theatre,,,,,not_found
Call Me Izzy,Studio 54,13-Jun-25,,,,not_found
Mamma Mia!,Winter Garden Theatre,,,,,not_found
Jeff Ross: Take a Banana For the Ride,Nederlander Theatre,,,,,not_found
Art,Music Box Theatre,24-Sep-25,,,,not_found
Punch,Samuel J. Friedman Theatre,07-Oct-25,,,,not_found
Waiting for Godot,Hudson Theatre,06-Oct-25,,,,not_found
Ragtime,Vivian Beaumont Theater,,,,,not_found
Beetlejuice,Palace Theatre,,92,wikipedia,https://en.wikipedia.org/wiki/Beetlejuice,ok
Liberation,James Earl Jones Theatre,30-Oct-25,,,,not_found
Little Bear Ridge Road,Booth Theatre,31-Oct-25,,,,not_found
The Queen of Versailles,St. James Theatre,10-Nov-25,100,wikipedia,https://en.wikipedia.org/wiki/The_Queen_of_Versailles,ok
Chess,Imperial Theatre,,,,,not_found
Oedipus,Studio 54,17-Nov-25,,,,not_found
Rob Lake Magic with Special Guests The Muppets,Broadhurst Theatre,,,,,not_found
Two Strangers (Carry a Cake Across New York),Longacre Theatre,,,,,not_found
Marjorie Prime,Hayes Theater,,98,wikipedia,https://en.wikipedia.org/wiki/Marjorie_Prime,ok
All Out: Comedy About Ambition,Nederlander Theatre,,,,,not_found
Bug,Samuel J. Friedman Theatre,,,,,not_found
Every Brilliant Thing,Hudson Theatre,,,,,not_found
Death of a Salesman,Winter Garden Theatre,,,,,not_found
Dog Day Afternoon,August Wilson Theatre,01-Apr-26,125,wikipedia,https://en.wikipedia.org/wiki/Dog_Day_Afternoon,ok
Giant,Music Box Theatre,,,,,not_found
Becky Shaw,Hayes Theater,,,,,not_found
Cats: The Jellicle Ball,Broadhurst Theatre,,,,,not_found
The Fear of 13,James Earl Jones Theatre,16-Apr-26,96,wikipedia,https://en.wikipedia.org/wiki/The_Fear_of_13,ok
"Beaches, A New Musical",Majestic Theatre,28-Apr-26,,,,not_found
Fallen Angels,Todd Haimes Theatre,22-Apr-26,,,,not_found
The Lost Boys,Palace Theatre,,97,wikipedia,https://en.wikipedia.org/wiki/The_Lost_Boys,ok
The Rocky Horror Show,Studio 54,,,,,not_found
Titaníque,St. James Theatre,,,,,not_found
Joe Turner's Come and Gone,Ethel Barrymore Theatre,,,,,not_found
Proof,Booth Theatre,20-Apr-26,,,,not_found
Schmigadoon!,Nederlander Theatre,,,,,not_found
The Balusters,Samuel J. Friedman Theatre,27-Apr-26,,,,not_found
Celebrity Autobiography,Sam S. Shubert Theatre,,,,,not_found
Paranormal Activity,August Wilson Theatre,,86,wikipedia,https://en.wikipedia.org/wiki/Paranormal_Activity,ok
show,theatre,opening_date,,,,not_found
,,,,,,not_found
