week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,genre,cast,creative_team,first_preview,opening_date,closing_date,run_number,is_revival,tony_nominations,tony_wins,has_pulitzer,has_drama_desk_win,awards_detail
1998-05-03,48.0,12492746.0,1776,Gershwin Theatre,341207,869277,38.39,75,8887,1899,0.585,8,0,,,,,,,1,0,,,,,
1998-05-10,49.0,11986747.0,1776,Gershwin Theatre,272014,869277,35.91,75,7575,1899,0.4986,8,0,,,,,,,1,0,,,,,
1998-05-17,50.0,12143933.0,1776,Gershwin Theatre,287177,869277,33.2,75,8651,1899,0.5694,8,0,,,,,,,1,0,,,,,
1998-05-24,51.0,12471275.0,1776,Gershwin Theatre,314051,869277,33.78,75,9298,1899,0.612,8,0,,,,,,,1,0,,,,,
1998-05-31,52.0,10827895.0,1776,Gershwin Theatre,236009,869277,28.82,75,8189,1899,0.539,8,0,,,,,,,1,0,,,,,
1998-06-07,1.0,11397854.0,1776,Gershwin Theatre,284019,869277,30.93,75,9183,1899,0.6045,8,0,,,,,,,1,0,,,,,
1998-06-14,2.0,12379782.0,1776,Gershwin Theatre,438896,869277,32.29,75,13592,1899,0.8947,8,0,,,,,,,1,0,,,,,
2022-09-18,,,1776,American Airlines Theatre,"$182,231.30 ",,$91.39 ,$248.00 ,"1,994",727,91.43%,0,3,,,,,,,1,0,,,,,
2022-09-25,,,1776,American Airlines Theatre,"$342,776.90 ",,$80.22 ,$248.00 ,"4,273",723,84.43%,0,7,,,,,,,1,0,,,,,
2022-10-02,,,1776,American Airlines Theatre,"$349,150.80 ",,$71.28 ,$248.00 ,"4,898",723,84.68%,0,8,,,,,,,1,0,,,,,
2022-10-09,,,1776,American Airlines Theatre,"$344,466.00 ",,$66.99 ,$248.00 ,"5,142",723,88.90%,5,3,,,,,,,1,0,,,,,
2022-10-16,,,1776,American Airlines Theatre,"$339,883.30 ",,$76.60 ,$248.00 ,"4,437",723,76.71%,8,0,,,,,,,1,0,,,,,
2022-10-23,,,1776,American Airlines Theatre,"$355,582.50 ",,$79.35 ,$248.00 ,"4,481",723,77.47%,8,0,,,,,,,1,0,,,,,
2022-10-30,,,1776,American Airlines Theatre,"$270,867.40 ",,$64.82 ,$248.00 ,"4,179",723,72.25%,8,0,,,,,,,1,0,,,,,
2022-11-06,,,1776,American Airlines Theatre,"$265,728.70 ",,$64.95 ,$248.00 ,"4,091",723,70.73%,8,0,,,,,,,1,0,,,,,
2022-11-13,,,1776,American Airlines Theatre,"$293,652.50 ",,$69.55 ,$248.00 ,"4,222",723,72.99%,8,0,,,,,,,1,0,,,,,
2022-11-20,,,1776,American Airlines Theatre,"$268,846.70 ",,$70.43 ,$248.00 ,"3,817",723,65.99%,8,0,,,,,,,1,0,,,,,
2022-11-27,,,1776,American Airlines Theatre,"$269,864.80 ",,$70.04 ,$248.00 ,"3,853",723,66.61%,8,0,,,,,,,1,0,,,,,
2022-12-04,,,1776,American Airlines Theatre,"$226,466.70 ",,$71.15 ,$248.00 ,"3,183",723,55.03%,8,0,,,,,,,1,0,,,,,
2022-12-11,,,1776,American Airlines Theatre,"$261,522.80 ",,$66.43 ,$248.00 ,"3,937",723,68.07%,8,0,,,,,,,1,0,,,,,
2022-12-18,,,1776,American Airlines Theatre,"$212,110.10 ",,$59.18 ,$248.00 ,"3,584",723,70.82%,7,0,,,,,,,1,0,,,,,
2022-12-25,,,1776,American Airlines Theatre,"$130,241.80 ",,$49.02 ,$248.00 ,"2,657",723,61.25%,6,0,,,,,,,1,0,,,,,
2023-01-01,,,1776,American Airlines Theatre,"$326,222.80 ",,$66.81 ,$248.00 ,"4,883",723,96.48%,7,0,,,,,,,1,0,,,,,
2023-01-08,,,1776,American Airlines Theatre,"$361,426.00 ",,$69.42 ,$248.00 ,"5,206",723,90.01%,8,0,,,,,,,1,0,,,,,
2017-05-21,52.0,34503594.63,1984,Hudson Theatre,212625.54,444580,62.94,249,3378,970,0.8706,0,4,,,,,,,1,0,,,,,
2017-05-28,1.0,34203175.62,1984,Hudson Theatre,298437.82,664746,58.76,249,5079,970,0.748,0,7,,,,,,,1,0,,,,,
2017-06-04,2.0,32793984.32,1984,Hudson Theatre,282052.58,774829,53.93,249,5230,970,0.674,0,8,,,,,,,1,0,,,,,
2017-06-11,3.0,34128419.59,1984,Hudson Theatre,288446.08,774829,51.93,249,5554,970,0.7157,0,8,,,,,,,1,0,,,,,
2017-06-18,4.0,34505435.31,1984,Hudson Theatre,301461.08,774829,50.09,249,6018,970,0.7755,0,8,,,,,,,1,0,,,,,
2017-06-25,5.0,35273881.85,1984,Hudson Theatre,337503.32,774829,50.1,249,6737,970,0.8682,5,3,,,,,,,1,0,,,,,
2017-07-02,6.0,31965811.52,1984,Hudson Theatre,421364.08,774829,63.68,249,6617,970,0.8527,8,0,,,,,,,1,0,,,,,
2017-07-09,7.0,29082683.33,1984,Hudson Theatre,369888.08,774829,63.09,249,5863,970,0.7555,8,0,,,,,,,1,0,,,,,
2017-07-16,8.0,31922259.32,1984,Hudson Theatre,382754.58,774829,65.64,249,5831,970,0.7514,8,0,,,,,,,1,0,,,,,
2017-07-23,9.0,31395963.12,1984,Hudson Theatre,396758.08,774829,67.16,249,5908,970,0.7613,8,0,,,,,,,1,0,,,,,
2017-07-30,10.0,31904722.8,1984,Hudson Theatre,381259.08,774829,65.98,249,5778,970,0.7446,8,0,,,,,,,1,0,,,,,
2017-08-06,11.0,31424598.87,1984,Hudson Theatre,340888.58,774829,64.54,249,5282,970,0.6807,8,0,,,,,,,1,0,,,,,
2017-08-13,12.0,30312333.55,1984,Hudson Theatre,335041.08,774829,62.84,249,5332,970,0.6871,8,0,,,,,,,1,0,,,,,
2017-08-20,13.0,28674785.82,1984,Hudson Theatre,281481.08,774829,60.02,249,4690,970,0.6044,8,0,,,,,,,1,0,,,,,
2017-08-27,14.0,26578502.98,1984,Hudson Theatre,267344.08,774829,59.53,249,4491,970,0.5787,8,0,,,,,,,1,0,,,,,
2017-09-03,15.0,27899472.03,1984,Hudson Theatre,291069.08,774829,62.31,249,4671,970,0.6019,8,0,,,,,,,1,0,,,,,
2017-09-10,16.0,23606589.82,1984,Hudson Theatre,292803.08,774829,65.98,249,4438,970,0.5719,8,0,,,,,,,1,0,,,,,
2017-09-17,17.0,26613186.99,1984,Hudson Theatre,313796.58,774829,63.78,249,4920,970,0.634,8,0,,,,,,,1,0,,,,,
2017-09-24,18.0,23991938.61,1984,Hudson Theatre,271920.08,774829,61.56,249,4417,970,0.5692,8,0,,,,,,,1,0,,,,,
2017-10-01,19.0,23206323.74,1984,Hudson Theatre,302268.08,774829,60.31,249,5012,970,0.6459,8,0,,,,,,,1,0,,,,,
2017-10-08,20.0,30239538.42,1984,Hudson Theatre,490658.08,774829,70.23,249,6986,970,0.9003,8,0,,,,,,,1,0,,,,,
1992-11-15,24.0,6150625.0,3 from Brooklyn,Helen Hayes Theatre,26419,,19.72,,1340,550,0.4873,0,5,,,,,,,1,0,,,,,
1992-11-22,25.0,5956981.0,3 from Brooklyn,Helen Hayes Theatre,43184,,21.52,,2007,550,0.4561,5,3,,,,,,,1,0,,,,,
1992-11-29,26.0,6848660.0,3 from Brooklyn,Helen Hayes Theatre,34647,,16.55,,2093,550,0.4757,8,0,,,,,,,1,0,,,,,
1992-12-06,27.0,6544685.0,3 from Brooklyn,Helen Hayes Theatre,49464,,23.68,,2089,550,0.4748,8,0,,,,,,,1,0,,,,,
1992-12-13,28.0,6302547.0,3 from Brooklyn,Helen Hayes Theatre,22657,,18.27,,1240,550,0.2818,8,0,,,,,,,1,0,,,,,
1992-12-20,29.0,5917458.0,3 from Brooklyn,Helen Hayes Theatre,16347,,27.2,,601,550,0.1366,8,0,,,,,,,1,0,,,,,
1992-12-27,30.0,6921665.0,3 from Brooklyn,Helen Hayes Theatre,21363,,30.92,,691,550,0.157,8,0,,,,,,,1,0,,,,,
2009-02-15,38.0,14354031.0,33 Variations,Eugene O'Neill Theatre,246337,745826,59.3,115,4154,1059,0.5604,0,7,,,,,,,1,0,,,,,
2009-02-22,39.0,15054535.0,33 Variations,Eugene O'Neill Theatre,257720,852372,58.76,115,4386,1059,0.5177,0,8,,,,,,,1,0,,,,,
2009-03-01,40.0,13630245.0,33 Variations,Eugene O'Neill Theatre,255692,852372,53.94,350,4740,1059,0.5595,0,8,,,,,,,1,0,,,,,
2009-03-08,41.0,14270631.0,33 Variations,Eugene O'Neill Theatre,269780,855684,54.38,350,4961,1063,0.5834,0,8,,,,,,,1,0,,,,,
2009-03-15,42.0,16136907.0,33 Variations,Eugene O'Neill Theatre,317866,855684,62.1,350,5119,1063,0.602,8,0,,,,,,,1,0,,,,,
2009-03-22,43.0,17391272.0,33 Variations,Eugene O'Neill Theatre,367554,855684,69.06,350,5322,1063,0.6258,8,0,,,,,,,1,0,,,,,
